;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;28;Jan;00:00;USA;NBA;2018/2019;San Antonio Spurs;Washington Wizards;SAS;WAS;36;26;H;O;;;132;119;H;O;13;251;1,52;2,78;1,53;2,71;1,33;3,4
2019;27;Jan;23:00;USA;NBA;2018/2019;Oklahoma City Thunder;Milwaukee Bucks;OKC;MIL;31;25;H;O;;;118;112;H;O;6;230;1,89;2,03;1,87;2,04;1,9;1,9
2019;27;Jan;20:30;USA;NBA;2018/2019;Chicago Bulls;Cleveland Cavaliers;CHI;CLE;29;27;H;O;;;101;104;A;O;3;205;1,46;2,53;1,53;2,71;1,57;2,55
2019;27;Jan;20:30;USA;NBA;2018/2019;Los Angeles Clippers;Sacramento Kings;LAC;SAC;34;21;H;O;;;122;108;H;O;14;230;1,46;2,32;1,51;2,77;1,54;2,65
2019;27;Jan;03:00;USA;NBA;2018/2019;Portland Trail Blazers;Atlanta Hawks;POR;ATL;40;30;H;O;;;120;111;H;O;9;231;1,13;5,4;1,18;5,56;1,16;5,5
2019;27;Jan;02:00;USA;NBA;2018/2019;Denver Nuggets;Philadelphia 76ers;DEN;PHI;41;37;H;O;;;126;110;H;O;16;236;1,15;3,92;1,23;4,8;1,22;4,5
2019;27;Jan;01:30;USA;NBA;2018/2019;Boston Celtics;Golden State Warriors;BOS;GSW;26;29;A;O;;;111;115;A;O;4;226;2,03;1,64;2,14;1,79;2,15;1,74
2019;27;Jan;01:00;USA;NBA;2018/2019;Memphis Grizzlies;Indiana Pacers;MEM;IND;24;19;H;U;;;106;103;H;O;3;209;2,28;1,48;2,49;1,61;2,5;1,58
2019;26;Jan;23:00;USA;NBA;2018/2019;New Orleans Pelicans;San Antonio Spurs;NOP;SAS;27;28;A;O;;;114;126;A;O;12;240;2,06;1,87;2,02;1,88;1,83;2
2019;26;Jan;02:00;USA;NBA;2018/2019;Denver Nuggets;Phoenix Suns;DEN;PHX;37;32;H;O;;;132;95;H;O;37;227;1,04;16,5;1,04;15,53;1,06;10
2019;26;Jan;02:00;USA;NBA;2018/2019;Utah Jazz;Minnesota Timberwolves;UTA;MIN;31;24;H;O;;;106;102;H;O;4;208;1,15;6,7;1,18;5,56;1,16;5,5
2019;26;Jan;01:30;USA;NBA;2018/2019;Dallas Mavericks;Detroit Pistons;DAL;DET;23;28;A;O;;;106;101;H;O;5;207;1,52;2,78;1,51;2,78;1,55;2,6
2019;26;Jan;01:30;USA;NBA;2018/2019;Milwaukee Bucks;Charlotte Hornets;MIL;CHA;22;27;A;U;;;108;99;H;O;9;207;1,14;5,9;1,16;6,28;1,14;6
2019;26;Jan;01:00;USA;NBA;2018/2019;Chicago Bulls;Los Angeles Clippers;CHI;LAC;20;27;A;U;;;101;106;A;O;5;207;2,6;1,41;3,11;1,42;3;1,41
2019;26;Jan;01:00;USA;NBA;2018/2019;Houston Rockets;Toronto Raptors;HOU;TOR;33;20;H;O;;;121;119;H;O;2;240;2,01;1,66;2,09;1,83;2,2;1,71
2019;26;Jan;01:00;USA;NBA;2018/2019;Memphis Grizzlies;Sacramento Kings;MEM;SAC;23;24;A;U;;;96;99;A;U;3;195;1,82;1,83;1,93;1,97;1,71;2,2
2019;26;Jan;00:30;USA;NBA;2018/2019;Brooklyn Nets;New York Knicks;BKN;NYK;30;37;A;O;;;109;99;H;O;10;208;1,18;4,95;1,18;5,74;1,16;5,5
2019;26;Jan;00:30;USA;NBA;2018/2019;Cleveland Cavaliers;Miami Heat;CLE;MIA;23;27;A;U;;;94;100;A;U;6;194;3,96;1,26;4,34;1,26;4,25;1,23
